Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
IPFT;Transmitter, Flow;"Includes sensing element
Includes electronics module
Includes process connection fittings
Includes seals/gaskets at process connections
Includes mounting assembly (bracket support, instrument enclosure...)
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Includes instrument accessories when fitted (diaphragm seal and capillary, flushing ring, compact manifold, local display)
Includes instrument cables and field termination
Excludes pressure transmitter for pressure compensated flow measurement
Excludes temperature transmitter for temperature compensated flow measurement";;;;;;;;;;;;;;;
IPKT;Transmitter, Keyphasor;"Includes power supply unit
Includes environmental protection housing
Includes calibration port/access
Includes mounting assembly
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Excludes keyphasor probe / sensor";;;;;;;;;;;;;;;
IPZT;Transmitter, Position;"Includes mechanical linkage
Includes calibration mechanism
Includes environmental sealing
Includes power supply unit
Includes mounting assembly
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
IPST;Transmitter, Speed;"Includes sensing element
Includes power supply
Includes housing/enclosure
Includes calibration mechanism
Includes mounting assembly";;;;;;;;;;;;;;;
IPVT;Transmitter, Vibration;"Includes internal power supply
Includes internal wiring/cabling
Includes internal diagnostic/test points
Includes mounting assembly
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Excludes Vibration sensor";;;;;;;;;;;;;;;
NABS;Beacon;"Includes mounting hardware
Includes electrical connections
Includes lens/optical assembly
Includes power supply unit
Includes control circuitry";;;;;;;;;;;;;;;
CMNQ;Navigation System;"Includes GPS Receiver
Includes Gyrocompass
Includes Radar System
Includes Autopilot System
Includes AIS Transponder
Includes Depth Sounder
Includes Horn/Siren
Includes Chart Plotter
Includes Weather Station
Includes Power Supply Unit
Includes Cabling and Connectors
Includes Display Units
Includes Telegraph
Includes Clinometer
Includes Rudder Angle Indicator System
Includes Sound Reception Unit";;;;;;;;;;;;;;;
AEGE;Gym Equipment;"Includes Power supply units
Includes Safety sensors
Includes Drive belts
Includes Lubrication systems
Includes Display screens
Includes Emergency stop buttons
Includes Treadmill
Includes Spinning bike
Includes Elliptical
Includes Dumbbells
Includes Multi-station crossover
Includes Bench press table";;;;;;;;;;;;;;;
FGAS;Toxic Gas Detector;"Includes calibration gas cylinder
Includes sampling probe
Includes power supply unit
Includes communication module
Includes enclosure seals and gaskets
Includes open/path H2S Detector (Point IR or Line of Sight)
Includes sensor/cartridge H2S Detector
Includes sample-line
Includes hose
Excludes display
Excludes pump unit
Excludes filter";;;;;;;;;;;;;;;
LSRE;Resuscitator, O2;"Includes oxygen/air resuscitator regulator
Includes oxygen/air resuscitator tubing/hoses
Includes oxygen/air resuscitator carrying case/harness
Includes oxygen/air resuscitator cylinder
Includes oxygen/air resuscitator ancillaries (i.e. breathing face mask)
Includes PPE signage";;;;;;;;;;;;;;;
NAPH;Photocell;"Includes Mounting bracket
Includes Wiring connections
Includes Lens/optical cover
Includes Adjustment mechanism
Includes Environmental seal
Includes photo-electric cell";;;;;;;;;;;;;;;
DRPM;Motor, Pneumatic;"Includes mounting bolts and fasteners
Includes shaft seals
Includes exhaust muffler
Includes thermal protection device
Excludes lubrication";;;;;;;;;;;;;;;
VACV;Valve, Control;"Includes position feedback potentiometer
Includes actuator mounting bolts
Includes actuator linkage pins
Includes actuator spring
Includes positioner calibration screws
Includes actuator manual override
Includes actuator diaphragm
Includes positional indicators
Includes position feedback arm
Includes current pressure transducer
Includes Passive Fire Protection, when applicable
Excludes Solenoid Valves when Fitted";;;;;;;;;;;;;;;
HVVD;Control Damper;"Includes Damper Linkage
Includes Damper Seals
Includes Pressure Relief Damper
Includes Shut Off Damper
Includes Back Flow Damper
Excludes Actuator
Excludes Electric Motor
Excludes Fire Damper
Excludes Fan";;;;;;;;;;;;;;;
IPSP;Probe, Speed;"Includes signal conditioning electronics
Includes mechanical mounting hardware
Includes environmental sealing components
Includes probe / sensor and mounting assembly";;;;;;;;;;;;;;;
IPKE;Keyphasor Element;"Includes cabling/wiring
Includes connectors/terminals
Includes mounting hardware (e.g., brackets, bolts)
Includes mounting assembly
Excludes Keyphasor transmitter";;;;;;;;;;;;;;;
IPLG;Gauge, Level;"Includes float mechanism
Includes magnetic coupling
Includes seals and gaskets
Includes mounting hardware
Includes calibration mechanism
Includes mounting assembly
Excludes process isolation block valves";;;;;;;;;;;;;;;
WTDC;Water Treatment (Chlorination/De-Chlorination);"Includes chlorinator unit
Includes de-chlorinator unit
Includes mixing chambers
Includes piping and fittings
Includes instrumentation and controls
Excludes pump
Excludes filter housing";;;;;;;;;;;;;;;
PUSE;Pump Submerged, Electric;"Includes electrical power cable
Includes mechanical seal
Includes impeller
Includes shaft
Includes thermal protection device
Includes Pipe Stack (including electrical power distribution)
Includes Oil Circulation System (Cooling oil inlet and outlet)
Excludes deep-water suction hose";;;;;;;;;;;;;;;
SJOI;Swivel Seal heavy oil;"Includes Seals
Includes Lubrication system
Includes Shaft
Includes Couplings
Includes Gaskets
Includes O-rings
Includes Leak detection sensors
Includes Piping connections
Includes Electrical connections
Includes Mounting hardware
Includes Alignment devices
Includes Actuators
Includes Manual overrides
Includes Power supplies
Includes Circuit breakers
Includes Fuses
Includes Relays
Includes PLC modules
Includes Communication modules
Includes Wiring
Includes Cabling
Includes Surge protection
Includes Diagnostic ports
Includes Test points
Includes Heat exchangers
Includes Insulation
Includes Corrosion protection
Includes Vibration dampers
Includes Noise reduction
Includes Safety interlocks
Includes Emergency stops
Includes Alarm systems
Includes Monitoring software
Includes Calibration tools
Includes Maintenance tools
Includes Spare parts kits
Includes Seal replacement tools
Includes Alignment tools
Includes Lubrication tools
Includes Cleaning tools
Includes Inspection ports
Includes Support structures
Includes Foundation bolts
Includes Anchor bolts
Includes Flexible connectors
Includes Drainage systems
Includes Ventilation systems
Includes Heating elements
Includes Cooling elements
Includes Moisture protection
Includes Dust protection
Includes Weather protection
Includes Explosion protection
Includes Lightning protection
Includes Cathodic protection
Includes Corrosion monitoring
Includes Wear monitoring
Includes Performance monitoring
Includes Efficiency monitoring
Includes Leakage monitoring
Includes Noise monitoring
Includes Alignment monitoring
Includes Lubrication monitoring
Includes Seal condition monitoring
Includes Shaft condition monitoring
Includes Coupling condition monitoring
Includes Gasket condition monitoring
Includes O-ring condition monitoring
Includes Hose condition monitoring
Includes Piping condition monitoring
Includes Electrical condition monitoring
Includes Control system condition monitoring
Includes Safety system condition monitoring
Includes Environmental condition monitoring
Includes Operational condition monitoring
Includes Maintenance history tracking
Includes Failure analysis tools
Includes Root cause analysis tools
Includes Reliability analysis tools
Includes Risk assessment tools
Includes Preventive maintenance schedules
Includes Predictive maintenance tools
Includes Condition-based maintenance tools
Includes Corrective maintenance tools
Includes Overhaul procedures
Includes Repair procedures
Includes Replacement procedures
Includes Testing procedures
Includes Commissioning procedures
Includes Decommissioning procedures
Includes Training materials
Includes Documentation
Includes Manuals
Includes Drawings
Includes Specifications
Includes Standards compliance
Includes Regulatory compliance
Includes Safety compliance
Includes Environmental compliance
Includes Quality compliance
Includes Performance compliance
Includes Efficiency compliance
Includes Reliability compliance
Includes Availability compliance
Includes Maintainability compliance
Includes Supportability compliance
Includes Lifecycle cost analysis
Includes Spare parts management
Includes Inventory management
Includes Supply chain management
Includes Vendor management
Includes Contract management
Includes Warranty management
Includes Insurance management
Includes Risk management
Includes Project management
Includes Change management
Includes Configuration management
Includes Document management
Includes Knowledge management
Includes Training management
Includes Competency management
Includes Safety management
Includes Environmental management
Includes Quality management
Includes Performance management
Includes Reliability management
Includes Maintenance management
Includes Asset management
Includes Lifecycle management
Includes the reservoir and flow divider
Excludes DRPM – Motor, Pneumatic
Excludes SPSR - Strainer";;;;;;;;;;;;;;;
VEFP;Purifier;"Includes seals and gaskets
Includes bowl assembly
Includes frame and housing
Includes utility supply isolation interfaces (as part of routine isolation)
Excludes electric motor
Excludes electric heater
Excludes local control panel";;;;;;;;;;;;;;;
IPGC;Analyser, Gas Chromatograph;"Includes sample probe
Includes calibration gas supply system
Includes carrier gas supply system
Includes detector assembly
Includes column oven
Includes injector port
Includes power supply unit
Includes internal fuses/circuit breakers
Includes internal wiring/cabling
Includes internal diagnostic/test points
Includes signal processing (analyzer) circuitry
Includes instrument small bore pipework / tubing
Includes sampling loop and associated components
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
NQNS;S-Band Radar Transmitter;"Includes Waveguide assembly
Includes Power supply unit
Includes Cooling system
Includes Modulator
Includes Interconnecting cables
Includes Radar Transceivers
Includes associated Control, Monitoring and Signal Processing Equipment
Excludes Antenna";;;;;;;;;;;;;;;
NQNX;X-Band Radar Transmitter;"Includes Waveguide assembly
Includes Power supply unit
Includes Cooling system
Includes Mounting hardware
Includes Signal processing modules
Includes Radar Transceivers
Includes associated Control, Monitoring and Signal Processing Equipment
Excludes Antenna";;;;;;;;;;;;;;;
IPRD;Analyser, Radiation Monitor;"Includes internal power supply unit
Includes internal calibration gas system
Includes internal detector/sensor assembly
Includes internal signal processing electronics
Includes internal environmental seals and gaskets
Includes Radiation Monitor and associated leads";;;;;;;;;;;;;;;
